Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Adrian Dantley*28UTA,30.6,5.7,3.9,0.8,0.1,0.558,0.25,0.859,929.88
Karl Malone*30UTA,25.2,11.5,4,1.5,1.5,0.497,0.25,0.694,929.74
Giannis Antetokounmpo22MIL,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,929.16
Jimmy Butler27CHI,23.9,6.2,5.5,1.9,0.4,0.455,0.367,0.865,928.7
Gary Payton*30SEA,21.7,4.9,8.7,2.2,0.2,0.434,0.295,0.721,928.62
Clyde Drexler*26POR,27.2,7.9,5.8,2.7,0.7,0.496,0.26,0.799,927.48
Luka Dončić20DAL,28.8,9.4,8.8,1,0.2,0.463,0.316,0.758,927.36
Jason Kidd*25PHO,16.9,6.8,10.8,2.3,0.4,0.444,0.366,0.757,927
Larry Bird*27BOS,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,926.86
Dwight Howard26ORL,20.6,14.5,1.9,1.5,2.1,0.573,0,0.491,926.86
Moses Malone*24HOU,25.8,14.5,1.8,1,1.3,0.502,0,0.719,923.03
Gary Payton*33SEA,22.1,4.8,9,1.6,0.3,0.467,0.314,0.797,922.87
Damian Lillard27POR,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,922.32
Kevin Durant34TOT,29.1,6.7,5,0.7,1.4,0.56,0.404,0.919,922.04
Kevin Durant28GSW,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,921.84
Jimmy Butler33MIA,22.9,5.9,5.3,1.8,0.3,0.539,0.35,0.85,921.84
Kawhi Leonard25SAS,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,921.84
Allen Iverson*23PHI,26.8,4.9,4.6,2.3,0.1,0.412,0.291,0.751,921.3
Tim Duncan*24SAS,22.2,12.2,3,0.9,2.3,0.499,0.259,0.618,921.06
Shaquille O'Neal*32MIA,22.9,10.4,2.7,0.5,2.3,0.601,0,0.461,920.7
Paul Pierce*28BOS,26.8,6.7,4.7,1.4,0.4,0.471,0.354,0.772,920.4
Charles Barkley*32PHO,23.2,11.6,3.7,1.6,0.8,0.5,0.28,0.777,920.08
Grant Hill*27DET,25.8,6.6,5.2,1.4,0.6,0.489,0.347,0.795,918.75
Hakeem Olajuwon*27HOU,24.3,14,2.9,2.1,4.6,0.501,0.167,0.713,918.21
Kevin Durant22OKC,27.7,6.8,2.7,1.1,1,0.462,0.35,0.88,918.04
Carmelo Anthony28NYK,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,917.6
Julius Erving*29PHI,26.9,7.4,4.6,2.2,1.8,0.519,0.2,0.787,916.94
